team name | assistant name | students ID's (space separated)
-----------------------------------------------------------
k1 | assistant1 | 130 63 331 96 236 238 334 292
k2 | assistant2 | 308 276 268 303 11 146 17 273
k3 | assistant1 | 196 347 348 349 350 187 37 327
k4 | assistant3 | 55 217 253 93 281 58 351 282
k5 | assistant4 | 95 66 156 293 43 6 159 166
k6 | assistant3 | 44 131 179 1 20 284 204 169
k7 | assistant4 | 262 167 295 228 216 239 3 267
k8 | assistant4 | 73 339 271 258 221 336 108 314
k9 | assistant3 | 338 346 171 218 194 92 220 328
k10 | assistant3 | 227 64 310 26 352 67 285 164
k11 | assistant4 | 230 14 30 162 48 120 176 32
k12 | assistant3 | 173 340 250 7 320 226 200 323
k13 | assistant4 | 277 112 185 311 283 212 89 345
k14 | assistant4 | 242 47 329 181 60 161 244 87
k15 | assistant3 | 139 124 163 193 116 206 80 287
k16 | assistant3 | 322 316 155 177 330 83 113 319
k17 | assistant4 | 252 302 274 254 353 105 150 332
k18 | assistant3 | 99 38 12 65 354 4 144 326
k19 | assistant4 | 309 333 151 40 355 356 357 231
k20 | assistant3 | 53 264 202 91 358 305 178
k21 | assistant4 | 98 138 9 359 360 201 235
k22 | assistant1 | 115 257 149 45 57 174 50 71
k23 | assistant2 | 168 290 279 157 28 142 127 241
k24 | assistant5 | 312 22 219 361 261 191 335 306
k25 | assistant5 | 106 140 42 255 76 13 237 132
k26 | assistant5 | 160 315 188 154 189 62 240 175
k27 | assistant5 | 111 183 165 128 208 21 207 145
k28 | assistant5 | 118 298 318 272 186 184 75 61
k29 | assistant5 | 248 5 147 56 78 136 126 249
k30 | assistant5 | 362 321 114 172 363 192 197 10
k31 | assistant5 | 81 301 209 86 121 97 214 246
k32 | assistant5 | 215 2 18 270 39 210 123 251
k33 | assistant5 | 275 364 135 365 72 182 263 366
k34 | assistant2 | 102 107 195 223 59 224 203 133
k35 | assistant1 | 341 222 245 109 52 33 286 94
k36 | assistant1 | 23 54 77 51 297 25 337 324
k37 | assistant2 | 129 269 110 158 35 141 367 152
k38 | assistant2 | 88 234 143 134 313 29 90 31
k39 | assistant1 | 41 84 256 247 289 233 46 368
k40 | assistant2 | 24 307 243 69 317 117 294 343
k41 | assistant1 | 49 288 325 198 15 344 260 125
k42 | assistant1 | 369 27 211 232 278 100 304 74
k43 | assistant2 | 8 79 85 180 342 259 104 70
k44 | assistant1 | 19 68 266 213 148 300 229 291
k45 | assistant2 | 265 103 205 199 190 82 34 122
k46 | assistant2 | 370 153 371 372 373 299 170 36
